inputtool,outputtools
varscan,"snpEff,vcftools_slice,snpSift_filter,jbrowse,snpSift_annotate,vcftools_compare,vcf2tsv,bcftools_consensus,vcftools_annotate,vcfvcfintersect,snpSift_extractFields,vcfcombine"
augustus,"gff_to_sequence,fasta2tab,mlst,ncbi_blastp_wrapper,Extract_features1,gffread,tmhmm2,tp_replace_in_column,interproscan,Grep1,tp_replace_in_line,bamtools,hisat2,jbrowse,seq_filter_by_id,signalp3,maker,EMBOSS: transeq101,EMBOSS: fuzzpro38,Show beginning1,vsearch_search,Psortb,aragorn_trna,filter_by_fasta_ids"
wolf_psort,Filter1
w4mclassfilter,"w4mclstrpeakpics,w4mjoinpn,Univariate,Heatmap,Multivariate,w4mcorcov,biosigner"
__RELABEL_FROM_FILE__,"__FLATTEN__,featurecounts,fastqc,bowtie2,__TAG_FROM_FILE__,Cut1,gops_join_1,__MERGE_COLLECTION__,rna_star,trim_galore,__APPLY_RULES__,cutadapt"
ctb_change_title,"ctb_obgrep,ctb_compound_convert,ctb_remDuplicates"
ctb_remDuplicates,ctb_remIons
ctb_remIons,"ctb_filter,ctb_remSmall,ctb_compound_convert,ctb_chemfp_mol2fps"
ctb_confab,"ctb_ob_addh,ctb_ob_genProp"
gops_concat_1,"Grouping1,bedtools_sortbed"
CONVERTER_bed_gff_or_vcf_to_bigwig_0,"gtf2bedgraph,CONVERTER_bed_to_bgzip_0,cat1,Add_a_column1,featurecounts,gops_concat_1,CONVERTER_gff_to_interval_index_0,gops_intersect_1,deeptools_compute_matrix,deeptools_computeMatrix,Filter1"
cshl_fastq_quality_filter,"cshl_fastx_artifacts_filter,unicycler,fastq_groomer,fastqc,bowtie_wrapper,bowtie2,trimmomatic,fastq_trimmer,cshl_fastx_clipper,fastq_filter,tophat2,fastq_to_tabular,cshl_fastx_trimmer"
samtools_depth,"Filter1,scatterplot_rpy,Add_a_column1"
tp_tail_tool,"fasterq_dump,cat1,sample_seqs,Paste1,get_flanks1,comp1,tp_awk_tool,gops_intersect_1,fastq_dump,tp_replace_in_column,tp_cut_tool,ncbi_makeblastdb,plotly_ml_performance_plots,tp_head_tool,tp_cat,sklearn_ensemble,meme_fimo,Add_a_column1,CONVERTER_interval_to_bed_0,Summary_Statistics1,Filter1,__RELABEL_FROM_FILE__,addValue,histogram_rpy,Cut1,mass_spectrometry_imaging_ion_images,Show tail1,meme_meme,ctb_mordred_descriptors,regexColumn1,deeptools_compute_matrix,Show beginning1,hgv_david,ncbi_blastn_wrapper,join1,qiime_align_seqs"
custom_pro_db,"iedb_api,fasta_merge_files_and_filter_unique_sequences,sqlite_to_tabular"
fasta_merge_files_and_filter_unique_sequences,"tp_replace_in_line,trinity,split_file_to_collection,search_gui,CONVERTER_fasta_to_tabular,decoyfasta,DecoyDatabase,ncbi_makeblastdb,seqtk_sample,mz_to_sqlite,rbc_mirdeep2_quantifier,tp_sed_tool"
MapAlignerPoseClustering,"FileFilter,MapRTTransformer,FeatureLinkerUnlabeledQT"
secretbt2test,"bam_to_sam,samtool_filter2,bamFilter,samtools_flagstat,ngsutils_bam_filter"
gffcompare_to_bed,"translate_bed,bedtools_getfastabed"
eden_sequence_converter,eden_vectorizer
eden_vectorizer,"sklearn_numeric_clustering,sklear_numeric_clustering"
sklear_numeric_clustering,Paste1
fastq_paired_end_joiner,"cat1,fastq_to_fasta_python,fastq_groomer,fastqc,nonpareil,vsearch_dereplication,umi_tools_extract,je_clip,trim_galore,fastq_to_tabular"
gops_join_1,"Extract genomic DNA 1,Grouping1,tp_sort_header_tool,Add_a_column1,comp1,Convert characters1,build_ucsc_custom_track_1,Filter1,CONVERTER_interval_to_bedstrict_0,join1,tp_cut_tool,addValue,datamash_ops,gops_subtract_1,subtract_query1,Cut1,bedtools_groupbybed"
samtools_filter,"deeptools_bam_coverage,cuffdiff,featurecounts,bedtools_bamtofastq,samtools_sort,htseq_count,samtools_stats,samtools_flagstat,samtools_calmd,picard_MarkDuplicates,picard_CollectRnaSeqMetrics,deeptools_plot_fingerprint,stringtie,picard_MergeSamFiles,freebayes,deeptools_multi_bam_summary,bedtools_genomecoveragebed,samtools_rmdup,cufflinks"
vcfflatten2,vcffixup
vcffixup,"addValue,vcf2tsv,tp_head_tool"
vcf2tsv,"datamash_ops,Filter1,Cut1,tp_cut_tool"
mothur_split_abund,"mothur_cluster,mothur_pairwise_seqs,mothur_count_seqs,mothur_get_oturep"
mothur_pairwise_seqs,"mothur_cluster,mothur_get_oturep"
varscan_mpileup,"Remove beginning1,bcftools_call,vcfbedintersect,vcftools_compare,bcftools_consensus,Show beginning1,vcfvcfintersect,bcftools_view,tp_head_tool"
metaphlan2krona,"krona-text,Kraken2Tax,taxonomy_krona_chart"
bedtools_intersectbed,"cat1,bed2gff1,tp_awk_tool,samtools_flagstat,picard_MarkDuplicates,tp_cut_tool,methtools_dmr,fastqc,deseq2_single,Grep1,htseq_count,tp_cat,samtools_mpileup,bamtools,Add_a_column1,gops_concat_1,methtools_filter,DatamashOps,wc_gnu,bedtools_intersectbed,Filter1,CONVERTER_interval_to_bedstrict_0,picard_CollectInsertSizeMetrics,addValue,datamash_ops,Cut1,Grouping1,wig_to_bigWig,Show tail1,sort1,bedtools_windowbed,bedtools_getfastabed,tp_sorted_uniq,deeptools_compute_matrix,Count1,tabular_to_csv,freebayes,tp_easyjoin_tool,deeptools_alignmentsieve,tp_sort_header_tool,deeptools_bam_coverage,deeptools_bamCoverage,chipseeker,bamFilter,bedtools_subtractbed,mergeCols1,join1"
maldi_quant_preprocessing,"cardinal_preprocessing,cardinal_quality_report,mass_spectrometry_imaging_qc,cardinal_data_exporter,cardinal_classification,maldi_quant_peak_detection,cardinal_filtering,cardinal_segmentations"
maldi_quant_peak_detection,"tp_replace_in_line,cardinal_preprocessing,cardinal_quality_report,cardinal_data_exporter,cardinal_classification"
flashlfq,"regex1,tp_replace_in_column"
bwameth,"bam_to_sam,deeptools_plot_coverage,samtools_sort,ngsutils_bam_filter,samtools_rmdup,pileometh"
bcftools_norm,"snpEff,snpSift_annotate,vcffilter2,vcfaddinfo,Filter1,snpSift_rmInfo,snpsift_vartype,bcftools_consensus"
bed2gff1,"Remove beginning1,tp_awk_tool,tp_tail_tool,bedtools_intersectbed,resize_coordinate_window,gffread,htseq_count"
resize_coordinate_window,Extract genomic DNA 1
decoyfasta,"proteomics_search_protein_prophet_1,proteomics_search_peptide_prophet_1,PeptideIndexer,proteomics_search_tandem_1"
proteomics_search_tandem_1,proteomics_search_peptide_prophet_1
proteomics_search_peptide_prophet_1,"proteomics_search_protein_prophet_1,openms_id_file_converter"
DatamashTranspose,"dropletutils,Cut1,cshl_word_list_grep"
anndata_import,"scanpy_filter,scanpy_filter_cells,anndata_inspect,anndata_manipulate,ucsc_cell_browser"
scanpy_scale_data,"scanpy_run_pca,scanpy_find_variable_genes"
scanpy_find_cluster,"scanpy_run_umap,scanpy_find_markers,scanpy_plot_embed,sceasy_convert,scanpy_run_tsne"
scanpy_run_tsne,"scanpy_find_markers,ucsc_cell_browser,scanpy_plot"
scanpy_find_markers,"scanpy_run_umap,scanpy_run_tsne,scanpy_plot_embed,scanpy_plot"
scanpy_run_umap,"scanpy_find_markers,scanpy_plot_embed,scanpy_plot,run_sccaf,scanpy_find_cluster,ucsc_cell_browser"
ncbi_blastp_wrapper,"megablast_xml_parser,blastxml_to_tabular,addName,blast2go,random_lines1,blastxml_to_top_descr,query_tabular,Filter1,tp_cut_tool,EMBOSS: fuzzpro38,blast_parser,Cut1,Grep1,blastxml_to_tabular_selectable,tp_cat"
uniprot,"Remove beginning1,Digestor,rbc_mafft,clustalw,bg_protein_properties,wolf_psort,signalp3,fasta_merge_files_and_filter_unique_sequences,muscle"
pileometh,"metilene,Remove beginning1,tp_sort_header_tool,wig_to_bigWig,tp_awk_tool,tp_tail_tool,Filter1,deeptools_compute_matrix,tp_cut_tool,bg_uniq,tp_sed_tool"
metilene,"Filter1,gops_join_1"
cuffcompare,"featurecounts,cuffdiff,Filter1,qiime_make_otu_heatmap,Grep1"
vsearch_dereplication,"bg_sortmerna,metaphlan2"
piranha,"bedtools_intersectbed,bed2gff1,bedtools_slopbed"
naive_variant_caller,"allele_counts_1,snpsift_vartype"
stacks2_denovomap,stacks2_populations
stacks2_populations,gd_raxml
gd_raxml,"graphlan,iqtree,newick_display"
prokka,"antismash,ncbi_blastn_wrapper,taxonomy_krona_chart,jbrowse,mlst,ncbi_blastp_wrapper,Extract_features1,ncbi_makeblastdb,snippy,staramr_search,bedtools_genomecoveragebed,roary"
roary,"taxonomy_krona_chart,fasttree,gd_raxml,iqtree,barchart_gnuplot"
trim_reads,fasta2tab
megablast_wrapper,"Fetch Taxonomic Ranks,cat1,multiqc,tp_cat"
Fetch Taxonomic Ranks,"Draw_phylogram,lca1,t2t_report"
lca1,"Draw_phylogram,t2t_report"
param_value_from_file,"fasterq_dump,sample_seqs,picard_DownsampleSam,iqtree,Grep1,tp_head_tool"
cshl_word_list_grep,"cshl_sort_header,Grouping1,sort1,Cut1,bg_uniq"
ctb_chemfp_mol2fps,"ctb_chemfp_butina_clustering,ctb_simsearch,comp1,ctb_chemfp_nxn_clustering"
ctb_chemfp_butina_clustering,"histogram_rpy,tp_cut_tool,tp_grep_tool"
bamtools,"macs2_callpeak,samtools_rmdup,picard_SortSam,bam_to_sam,rbc_mafft,seq_filter_by_id,fastq_to_fasta_python,fasta_compute_length,fasta-stats,nanoplot,spades,canu,pileometh"
get_pdb,"gmx_setup,fpocket,tp_grep_tool"
gmx_setup,"gmx_solvate,gmx_sim,gmx_npt,gmx_merge_topology_files,gmx_editconf,gmx_nvt"
gmx_solvate,"gmx_sim,gmx_npt,gmx_em,md_converter,gmx_md,gmx_nvt"
gmx_sim,"bio3d_rmsd,gmx_editconf,md_converter,gmx_trj,bio3d_rmsf,gmx_makendx,bio3d_pca"
tp_uniq_tool,"tp_multijoin_tool,raceid_main,EMBOSS: wordcount109,Count1"
scater_create_qcmetric_ready_sce,"scater_filter,scater_normalize,scater_plot_dist_scatter"
scater_normalize,scater_filter
scater_filter,"scater_plot_dist_scatter,scater_plot_pca,scater_plot_tsne,anndata_import,scater_plot_exprs_freq"
rseqc_infer_experiment,"Grep1,multiqc"
IsobaricAnalyzer,"FileInfo,IDMapper,__SORTLIST__"
canu,"minimap2,blast_reciprocal_best_hits,mummer_dnadiff,fasta-stats,trinity,racon,prokka,abricate,megablast_wrapper,quast,spades,bowtie2,bandage_image"
quast,multiqc
wtdbg,"fasta-stats,fasta_compute_length"
cardinal_combine,"maldi_quant_preprocessing,cardinal_preprocessing,cardinal_quality_report,cardinal_data_exporter,cardinal_spectra_plots,tp_replace_in_column,cardinal_classification,maldi_quant_peak_detection"
infernal_cmsearch,"Grouping1,Convert characters1,Filter1,glob_report,graphclust_glob_report_no_align"
gatk2_variant_select,"gatk2_variant_annotator,gatk2_variant_filtration,vcftools_isec"
gatk2_variant_annotator,snpEff
cardinal_data_exporter,"Remove beginning1,tp_sort_header_tool,cardinal_preprocessing,Univariate,join_files_on_column_fuzzy,Filter1,datamash_transpose,tp_replace_in_column,datamash_ops,Cut1,Grep1"
sed_stream_editor,"Remove beginning1,comp1,tp_awk_tool,htseq-count,sort1,rbc_mirdeep2,rbc_mirdeep2_quantifier,fasta_filter_by_length,regex_replace,bg_uniq,filter_by_fasta_ids"
mycrobiota-krona-mothur,iReport
bcftools_consensus,"sam_to_bam,fasta-stats,bedtools_getfastabed,freebayes,bwa_mem,tp_cat"
flye,"minimap2,fasta-stats,fasta_compute_length,racon,quast,bandage_info,bandage_image"
mothur_summary_tax,mothur_get_groups
addName,"Remove beginning1,Grouping1,mass_spectrometry_imaging_combine,mass_spectrometry_imaging_filtering,tp_sorted_uniq,mergeCols1,join1,tp_cat"
graphicsmagick_image_convert,"re_he_maldi_image_registration,ip_scale_image,scale_image,viz_overlay_moving_and_fixed_image,ip_viz_overlay_moving_and_fixed_image,graphicsmagick_image_montage"
scale_image,"viz_overlay_moving_and_fixed_image,ip_projective_transformation,re_he_maldi_image_registration"
mass_spectrometry_imaging_preprocessing,"tp_easyjoin_tool,tp_sort_header_tool,mass_spectrometry_imaging_ion_images,mass_spectrometry_imaging_combine,mass_spectrometry_imaging_classification,mass_spectrometry_imaging_segmentations,mass_spectrometry_imaging_qc,collection_column_join,mass_spectrometry_imaging_mzplots,Cut1,mass_spectrometry_imaging_preprocessing"
fastp,"__UNZIP_COLLECTION__,seq_filter_by_mapping,spades,__BUILD_LIST__,fastqc,tophat2,tp_cat,hisat2,tb_variant_filter,snippy,multiqc,canu,kraken2,shovill,trinity,bowtie2,flash,unicycler,fastq_groomer,bg_sortmerna,bwa_mem"
samtools_fastx,"unicycler,collapse_dataset,__ZIP_COLLECTION__,hisat2,fastq_paired_end_deinterlacer,spades,bowtie2,tophat2"
ncbi_tblastn_wrapper,"blastxml_to_top_descr,random_lines1,GeneModelMapper,Filter1,Cut1"
DatamashOps,"tab2fasta,Remove beginning1,cat1,comp1,Paste1,tp_awk_tool,wc_gnu,Summary_Statistics1,join1,tp_cut_tool,tp_cat"
peakachu,"bedtools_intersectbed,tp_awk_tool,htseq_count"
rbc_mafft,"rnaz,interactive_tool_fairdom_send,fasttree,selectsequencesfrommsa,gd_raxml,EMBOSS: transeq101,iqtree,tp_cat,qiime_make_phylogeny,EMBOSS: tranalign100,phyml,rgweblogo3"
phyml,graphlan
cshl_fastx_reverse_complement,"collapse_dataset,cat1,fastq_paired_end_joiner,tp_grep_tool,fastq_groomer,cshl_fastx_barcode_splitter,trimmomatic,je_clip,rna_star,bowtie2,fastq_to_tabular,tp_cat"
mycrobiota-qc-report,iReport
vcfvcfintersect,"snpSift_filter,vcffixup,vcfbedintersect,snpSift_annotate,snpSift_geneSets,Filter1,vcftools_compare,vcftools_merge,snpsift_vartype,vcf2pgSnp"
retrieve_scxa,"scanpy_read_10x,seurat_read10x"
seurat_export_cellbrowser,ucsc_cell_browser
sickle,"hisat2,bwa,fastqc,snippy,spades,rna_star,bowtie2,tophat2,bwa_mem,cutadapt"
bedtools_genomecoveragebed_histogram,Filter1
cshl_fastx_clipper,"cshl_fastx_quality_statistics,hisat2,cshl_fastx_reverse_complement,fastq_quality_trimmer,fastqc,fastq_filter,bowtie_wrapper,cshl_fastq_quality_filter,bowtie2,fastq_to_tabular,cshl_fastx_trimmer"
fastq_quality_trimmer,"unicycler,shovill,fastq_join,fastqc,bowtie_wrapper,fastq_trimmer,bismark_bowtie,snippy,cshl_fastx_clipper,cshl_fastq_quality_filter,bowtie2,tophat2,flash"
cuffdiff,"cshl_sort_header,cummeRbund,sort1,Filter1,join1,cummerbund_to_cuffdiff"
stacks_denovomap,"stacks_populations,stacks_genotypes"
hicexplorer_hicbuildmatrix,"hicexplorer_hiccorrectmatrix,hicexplorer_chicviewpointbackgroundmodel,hicexplorer_hicsummatrices,hicexplorer_chicqualitycontrol,hicexplorer_hictransform,hicexplorer_hicplotviewpoint,hicexplorer_hicplottads,hicexplorer_hicfindtads,hicexplorer_hicmergematrixbins,hicexplorer_hicplotmatrix,multiqc,hicexplorer_hicpca,hicexplorer_chicviewpoint,tp_sed_tool"
hicexplorer_hicmergematrixbins,"hicexplorer_hicplottads,hicexplorer_hicplotmatrix,hicexplorer_hiccorrectmatrix"
tabular_to_fastq,"megahit,minimap2,metaspades,fastq_groomer,cshl_fastx_reverse_complement,fastqc"
Batch_correction,"quality_metrics,generic_filter"
quality_metrics,generic_filter
Heatmap,"query_tabular,biosigner"
mothur_nmds,mothur_corr_axes
deeptools_multi_bam_summary,"r_correlation_matrix,tp_sort_header_tool,deeptools_plot_pca,deeptools_plot_correlation"
fastq_filter,"minimap2,fastq_manipulation,cshl_fastq_to_fasta,mlocarna,fastq_to_fasta_python,bowtie_wrapper,cshl_fastx_trimmer,bowtie2,fastq_trimmer,bwameth,cshl_fastx_clipper,fastq collapser,rna_star,fastqc,fastq_to_tabular,cutadapt"
fastq_to_tabular,"tp_easyjoin_tool,tp_awk_tool,Filter1,join1,tp_replace_in_column,Count1,tp_cut_tool,datamash_ops,Cut1,Grep1"
regexColumn1,"cat1,tp_sort_header_tool,gtftobed12,query_tabular,flashlfq,regex1,snippy,tp_cat"
cshl_awk_tool,"tp_replace_in_line,Extract genomic DNA 1,ncbi_blastn_wrapper,tp_sort_header_tool,tp_find_and_replace,cshl_find_and_replace,get_flanks1,cuffcompare,CONVERTER_interval_to_bed_0,tophat2,Show tail1,tp_tail_tool,gops_intersect_1,tp_tac,tp_replace_in_column,gops_subtract_1,cshl_uniq_tool,cufflinks"
tp_tac,"tp_replace_in_line,Count1,CONVERTER_interval_to_bed_0,gops_intersect_1"
mothur_seq_error,mothur_dist_seqs
ctb_pubchem_download_as_smiles,"tp_easyjoin_tool,comp1,ctb_chemfp_mol2fps,openbabel_compound_convert,Cut1"
sklearn_ensemble,"Remove beginning1,plotly_regression_performance_plots,tp_tail_tool,plotly_ml_performance_plots"
picard_MergeSamFiles,"samtools_fastx,deeptools_bam_coverage,macs2_callpeak,samtool_filter2,bamFilter,samtools_split,bedtools_intersectbed,samtools_flagstat,gatk4_mutect2,picard_MarkDuplicates,ngsutils_bam_filter,freebayes_wrapper,__BUILD_LIST__,freebayes,htseq_count,samtools_mpileup"
samtools_split,"deeptools_compute_matrix,macs2_predictd,macs2_callpeak,deeptools_bam_compare"
sailfish,"tp_sort_header_tool,tp_tail_tool"
methtools_plot,"CONVERTER_interval_to_bed_0,CONVERTER_interval_to_bgzip_0"
CONVERTER_interval_to_bgzip_0,"CONVERTER_interval_to_bed_0,deeptools_computeMatrix,wig_to_bigWig"
snpEff_download,snpEff
allele_counts_1,"Filter1,cat1,tp_cat"
trinity,"trinity_contig_exn50_statistic,picard_QualityScoreDistribution,trinity_super_transcripts,trinity_align_and_estimate_abundance,busco,fasta2tab,cd_hit_est,salmon,hisat2,trinity_gene_to_trans_map,kallisto_quant,quast,transdecoder,trinity_filter_low_expr_transcripts,bwa_mem,tp_cat"
trinity_filter_low_expr_transcripts,"trinity_align_and_estimate_abundance,transdecoder"
fragmenter,"bgchem_fragment_merger,bg_uniq"
bgchem_fragment_merger,"ctb_compound_convert,comp1"
mtbls520_04_preparations,mtbls520_05a_import_maf
mtbls520_05a_import_maf,mtbls520_06_import_traits
mtbls520_06_import_traits,mtbls520_07_species_diversity
mtbls520_07_species_diversity,"mtbls520_19b_seasons_unique,mtbls520_19e_seasons_features,mtbls520_08a_species_shannon,mtbls520_09_species_venn,mtbls520_18_phylogeny,mtbls520_19d_seasons_concentration,mtbls520_10_species_varpart,mtbls520_08b_species_unique,mtbls520_19a_seasons_shannon,mtbls520_16_ecology_rda,mtbls520_12_species_marchantia,mtbls520_08d_concentration,mtbls520_08c_species_variability,mtbls520_23_seasons_rda,mtbls520_08e_species_features"
snpsift_vartype,"snpEff,vcftools_compare"
FeatureFinderCentroided,"MapStatistics,FeatureLinkerUnlabeled,IDMapper,QCCalculator"
gatk2_realigner_target_creator,gatk2_indel_realigner
gatk2_variant_apply_recalibration,vcftools_merge
vcftools_merge,"vcftools_isec,vcffilter2,cshl_cut_tool"
cshl_cut_tool,"snpEff,snpSift_filter,Paste1,wig_to_bigWig,CONVERTER_bedgraph_to_bigwig,join1"
cp_export_to_spreadsheet,cp_cellprofiler
umi_tools_count,"raceid_filtnormconf,datamash_transpose,collection_column_join,seurat,tp_sed_tool"
trinity_align_and_estimate_abundance,"trinity_abundance_estimates_to_matrix,deseq2"
trinity_abundance_estimates_to_matrix,"trinity_contig_exn50_statistic,trinity_run_de_analysis,trinity_filter_low_expr_transcripts,trinity_analyze_diff_expr,trinity_samples_qccheck"
rseqc_bam2wig,wig_to_bigWig
ChangeCase,"cshl_fasta_nucleotides_changer,featurecounts,goseq,tp_multijoin_tool,join1,addValue,Cut1,bg_uniq,tp_cat"
goseq,"Filter1,Grouping1"
humann2_renorm_table,"humann2_unpack_pathways,collection_column_join,combine_metaphlan2_humann2,humann2_genefamilies_genus_level"
column_order_header_sort,"ggplot2_heatmap2,Remove beginning1,Grep1,Show beginning1"
picard_AddOrReplaceReadGroups,"sam_merge2,macs2_callpeak,picard_SortSam,picard_ReorderSam,samtools_sort,peakcalling_macs,picard_MarkDuplicates,picard_MergeSamFiles,freebayes"
lofreq_call,"snpEff,lofreq_filter,snpSift_filter"
graphclust_glob_report_no_align,graphclust_align_cluster
graphclust_align_cluster,graphclust_aggregate_alignments
table_compute,"tp_easyjoin_tool,Remove beginning1,Add_a_column1,join1,ggplot2_heatmap2"
__ZIP_COLLECTION__,"salmon,hisat2,fastq_groomer,snippy_core,trimmomatic,fastqc"
FROGS_preprocess,FROGS_clustering
FROGS_clustering,FROGS_remove_chimera
FROGS_remove_chimera,FROGS_filters
FROGS_filters,FROGS_affiliation_OTU
FROGS_affiliation_OTU,FROGS_affiliations_stat
IDScoreSwitcher,"FileInfo,FidoAdapter"
msnbase_readmsdata,"abims_xcms_xcmsSet,xcms_plot_chromatogram,xcms_export_samplemetadata"
convert_bc_to_binary_RY.py,"flexbar_split_RR_bcs,flexbar_split_RYYR_bcs"
collection_element_identifiers,"tp_replace_in_line,__RELABEL_FROM_FILE__,regex_replace"
__TAG_FROM_FILE__,"collection_element_identifiers,__RELABEL_FROM_FILE__,__ZIP_COLLECTION__,deseq2"
cshl_fastq_to_fasta,"hmmer_hmmsearch,ncbi_blastn_wrapper,filter_16s_wrapper_script 1,seq_filter_by_id,mothur_unique_seqs,mothur_merge_files,fasta_merge_files_and_filter_unique_sequences,vsearch_chimera_detection,fasta_filter_by_length,seqtk_subseq,filter_by_fasta_ids"
fraggenescan,"interproscan,fasplit,hmmer_hmmscan,valet"
replace_chromosome_names,"tab2fasta,bcftools_norm"
get_sequences,"fasta_filter_by_length,viennarna_rnafold"
viennarna_rnafold,"graphicsmagick_image_convert,collapse_dataset,structure_to_gspan,viennarna_rnaplot,tp_head_tool"
ctb_sdf2fps,"ctb_chemfp_butina_clustering,ctb_simsearch"
hicexplorer_chicviewpointbackgroundmodel,"hicexplorer_chicsignificantinteractions,hicexplorer_chicviewpoint"
hicexplorer_chicsignificantinteractions,hicexplorer_chicaggregatestatistic
hicexplorer_chicaggregatestatistic,hicexplorer_chicdifferentialtest
fasplit,"ncbi_blastp_wrapper,interproscan,nspdk_sparse,viennarna_rnafold"
__SORTLIST__,"MSGFPlusAdapter,fastq_paired_end_joiner,proteomics_moff,XTandemAdapter,mass_spectrometry_imaging_filtering,IDMapper,thermo_raw_file_converter,deeptools_plot_fingerprint,FileConverter,deeptools_multi_bam_summary"
glimmer_build-icm,glimmer_knowlegde-based
cshl_uniq_tool,"Filter1,Cut1,sort1,Count1"
openbabel_remIons,openbabel_remDuplicates
glimmer_knowlegde-based,"Remove beginning1,rmcontamination,EMBOSS: transeq101"
seqtk_trimfq,"trimmomatic,fastqc,bwa_mem"
tp_sort_rows,sort1
cshl_fasta_formatter,"cshl_fasta_nucleotides_changer,fasta2tab,tp_head_tool"
meme_psp_gen,meme_meme
cor2,"Convert characters1,cat1,Paste1"
tables_arithmetic_operations,tp_cat
export2graphlan,graphlan_annotate
graphlan_annotate,graphlan
vcfsort,"vcfbedintersect,bcftools_filter,gemini_load"
scanpy_filter,"anndata_inspect,anndata_manipulate,scanpy_plot"
anndata_inspect,tp_awk_tool
anndata_manipulate,"scanpy_filter,scanpy_plot,scanpy_remove_confounders,scanpy_inspect,anndata_inspect,scanpy_normalize"
scanpy_normalize,scanpy_inspect
scanpy_inspect,"scanpy_cluster_reduce_dimension,scanpy_filter,scanpy_plot,anndata_inspect,scanpy_find_variable_genes"
mass_spectrometry_imaging_qc,"Remove beginning1,Filter1"
CONVERTER_fasta_to_fai,"bowtie2,hisat2"
deeptools_profiler,"Remove beginning1,Cut1"
iuc_pear,"fastq_groomer,fastq_filter,cshl_fastq_quality_filter,bismark_bowtie2,fastqc,fastq_to_tabular"
snpEff_build_gb,"lofreq_viterbi,snpEff,gatk2_indel_realigner,lofreq_alnqual,hisat2,lofreq_call,ococo,freebayes,bowtie2,lastz_wrapper_2,bwa_mem"
lofreq_filter,"snpEff,vcftools_isec,vcftools_compare"
fastq_trimmer,"fastq_manipulation,bwa,fastq_to_fasta_python,fastq_groomer,trimmomatic,fastp,rna_star,fastqc,fastq_to_tabular,bwa_mem"
seq_filter_by_mapping,"cshl_fastq_to_fasta,fastq_to_fasta_python,sailfish,bowtie2,kraken2"
sceasy_convert,"scmap_scmap_cluster,scmap_scmap_cell"
bams2ratio,heatmapper
bg_find_subsequences,"Cut1,get_flanks1,Add_a_column1"
bedtools_windowbed,Add_a_column1
gbk_to_orf,"ncbi_blastp_wrapper,ncbi_rpsblast_wrapper"
ncbi_rpsblast_wrapper,"Filter1,Cut1,tp_cut_tool"
deeptools_alignmentsieve,"macs2_callpeak,deeptools_bam_coverage,samtools_flagstat,samtools_idxstats,deeptools_plot_fingerprint"
CONVERTER_fastqgz_to_fastq,"rna_star,fastqc"
structure_to_gspan,"__FLATTEN__,nspdk_sparse,tp_cat"
ip_landmark_registration,"ip_projective_transformation_points,ip_viz_overlay_moving_and_fixed_image"
ip_projective_transformation_points,"imagecoordinates_flipaxis,addName"
imagecoordinates_flipaxis,"addValue,Add_a_column1,addName"
Digestor,fasta2tab
MassCalculator,"tp_tail_tool,Add_a_column1"
prepare_receptor,docking
split_file_to_collection,"cat1,xchem_transfs_scoring,rdock_rbdock,xchem_pose_scoring,param_value_from_file,openbabel_compound_convert"
openbabel_genProp,"tp_easyjoin_tool,openbabel_filter"
fastq_paired_end_deinterlacer,"umi_tools_whitelist,fastqc,bowtie2,trimmomatic,fastp,spades,je_demultiplex,trim_galore,bwa_mem,cutadapt,tp_cat"
rdock_rbdock,"collapse_dataset,__FILTER_FAILED_DATASETS__,sucos_max_score,xchem_pose_scoring,sucos_docking_scoring,tp_cat"
blastxml_to_top_descr,"Convert characters1,Grep1,seq_filter_by_id,comp1"
spocc_occ,"Count1,Filter1,tp_cut_tool"
ococo,"ncbi_blastn_wrapper,busco,fasta-stats,quast,augustus"
proteinortho,tp_grep_tool
picard_CleanSam,"freebayes,samtool_filter2"
Interval_Maf_Merged_Fasta2,cat1
ctb_simsearch,"Filter1,comp1,table_compute"
get_read_pipeline,react_cal_pipeline
TrimPrimer,Flash
Flash,Btrim64
Btrim64,"uparse,tag_stat2,ExtractFASTAfromFASTQ"
ExtractFASTAfromFASTQ,ChooseTag
ChooseTag,TrimByN
TrimByN,TrimByLength
TrimByLength,uchime
uchime,"uparse,map_reads_otu,pynast"
uparse,"rarefaction,16Saligner,16Sclassifier,pynast"
samtools_stats,multiqc
bismark_bowtie2,"bam_to_sam,bamtools,samtool_filter2,samtools_sort,bismark_deduplicate,bismark_pretty_report,bismark_methylation_extractor,pileometh"
CONVERTER_gff_to_interval_index_0,"CONVERTER_bed_gff_or_vcf_to_bigwig_0,featurecounts"
filter_by_fasta_ids,"unicycler,fasta_compute_length,idba_hybrid,fasplit,bowtie2,fasta_merge_files_and_filter_unique_sequences,bg_diamond,EMBOSS: tranalign100,bwa_mem"
humann2_regroup_table,humann2_renorm_table
bedtools_subtractbed,"Extract genomic DNA 1,Add_a_column1"
EMBOSS: fuzztran39,Grep1
table_annovar,"Filter1,table_annovar,Grouping1"
gmx_makendx,"gmx_trj,gmx_restraints"
kallisto_quant,"Cut1,collection_column_join"
hisat,"cufflinks,samtools_sort,stringtie,samtools_rmdup,htseq_count"
1_create_conf,"3_filter_single_pair,2_map,5_calc_stat,conf4circos,4_filter_sam"
4_filter_sam,5_calc_stat
5_calc_stat,"conf4circos,6_parse_discord"
conf4circos,draw_circos
salmon,"Cut1,deseq2"
